00000000000 // a =  0 , b =  0 , sel =  0
00000000001 // a =  0 , b =  1 , sel =  0
00000000010 // a =  0 , b =  2 , sel =  0
00000000011 // a =  0 , b =  3 , sel =  0
00000000100 // a =  0 , b =  4 , sel =  0
00000000101 // a =  0 , b =  5 , sel =  0
00000000110 // a =  0 , b =  6 , sel =  0
00000000111 // a =  0 , b =  7 , sel =  0
00000001000 // a =  0 , b =  8 , sel =  0
00000001001 // a =  0 , b =  9 , sel =  0
00000001010 // a =  0 , b = 10 , sel =  0
00000001011 // a =  0 , b = 11 , sel =  0
00000001100 // a =  0 , b = 12 , sel =  0
00000001101 // a =  0 , b = 13 , sel =  0
00000001110 // a =  0 , b = 14 , sel =  0
00000001111 // a =  0 , b = 15 , sel =  0
00000010000 // a =  1 , b =  0 , sel =  0
00000010001 // a =  1 , b =  1 , sel =  0
00000010010 // a =  1 , b =  2 , sel =  0
00000010011 // a =  1 , b =  3 , sel =  0
00000010100 // a =  1 , b =  4 , sel =  0
00000010101 // a =  1 , b =  5 , sel =  0
00000010110 // a =  1 , b =  6 , sel =  0
00000010111 // a =  1 , b =  7 , sel =  0
00000011000 // a =  1 , b =  8 , sel =  0
00000011001 // a =  1 , b =  9 , sel =  0
00000011010 // a =  1 , b = 10 , sel =  0
00000011011 // a =  1 , b = 11 , sel =  0
00000011100 // a =  1 , b = 12 , sel =  0
00000011101 // a =  1 , b = 13 , sel =  0
00000011110 // a =  1 , b = 14 , sel =  0
00000011111 // a =  1 , b = 15 , sel =  0
00000100000 // a =  2 , b =  0 , sel =  0
00000100001 // a =  2 , b =  1 , sel =  0
00000100010 // a =  2 , b =  2 , sel =  0
00000100011 // a =  2 , b =  3 , sel =  0
00000100100 // a =  2 , b =  4 , sel =  0
00000100101 // a =  2 , b =  5 , sel =  0
00000100110 // a =  2 , b =  6 , sel =  0
00000100111 // a =  2 , b =  7 , sel =  0
00000101000 // a =  2 , b =  8 , sel =  0
00000101001 // a =  2 , b =  9 , sel =  0
00000101010 // a =  2 , b = 10 , sel =  0
00000101011 // a =  2 , b = 11 , sel =  0
00000101100 // a =  2 , b = 12 , sel =  0
00000101101 // a =  2 , b = 13 , sel =  0
00000101110 // a =  2 , b = 14 , sel =  0
00000101111 // a =  2 , b = 15 , sel =  0
00000110000 // a =  3 , b =  0 , sel =  0
00000110001 // a =  3 , b =  1 , sel =  0
00000110010 // a =  3 , b =  2 , sel =  0
00000110011 // a =  3 , b =  3 , sel =  0
00000110100 // a =  3 , b =  4 , sel =  0
00000110101 // a =  3 , b =  5 , sel =  0
00000110110 // a =  3 , b =  6 , sel =  0
00000110111 // a =  3 , b =  7 , sel =  0
00000111000 // a =  3 , b =  8 , sel =  0
00000111001 // a =  3 , b =  9 , sel =  0
00000111010 // a =  3 , b = 10 , sel =  0
00000111011 // a =  3 , b = 11 , sel =  0
00000111100 // a =  3 , b = 12 , sel =  0
00000111101 // a =  3 , b = 13 , sel =  0
00000111110 // a =  3 , b = 14 , sel =  0
00000111111 // a =  3 , b = 15 , sel =  0
00001000000 // a =  4 , b =  0 , sel =  0
00001000001 // a =  4 , b =  1 , sel =  0
00001000010 // a =  4 , b =  2 , sel =  0
00001000011 // a =  4 , b =  3 , sel =  0
00001000100 // a =  4 , b =  4 , sel =  0
00001000101 // a =  4 , b =  5 , sel =  0
00001000110 // a =  4 , b =  6 , sel =  0
00001000111 // a =  4 , b =  7 , sel =  0
00001001000 // a =  4 , b =  8 , sel =  0
00001001001 // a =  4 , b =  9 , sel =  0
00001001010 // a =  4 , b = 10 , sel =  0
00001001011 // a =  4 , b = 11 , sel =  0
00001001100 // a =  4 , b = 12 , sel =  0
00001001101 // a =  4 , b = 13 , sel =  0
00001001110 // a =  4 , b = 14 , sel =  0
00001001111 // a =  4 , b = 15 , sel =  0
00001010000 // a =  5 , b =  0 , sel =  0
00001010001 // a =  5 , b =  1 , sel =  0
00001010010 // a =  5 , b =  2 , sel =  0
00001010011 // a =  5 , b =  3 , sel =  0
00001010100 // a =  5 , b =  4 , sel =  0
00001010101 // a =  5 , b =  5 , sel =  0
00001010110 // a =  5 , b =  6 , sel =  0
00001010111 // a =  5 , b =  7 , sel =  0
00001011000 // a =  5 , b =  8 , sel =  0
00001011001 // a =  5 , b =  9 , sel =  0
00001011010 // a =  5 , b = 10 , sel =  0
00001011011 // a =  5 , b = 11 , sel =  0
00001011100 // a =  5 , b = 12 , sel =  0
00001011101 // a =  5 , b = 13 , sel =  0
00001011110 // a =  5 , b = 14 , sel =  0
00001011111 // a =  5 , b = 15 , sel =  0
00001100000 // a =  6 , b =  0 , sel =  0
00001100001 // a =  6 , b =  1 , sel =  0
00001100010 // a =  6 , b =  2 , sel =  0
00001100011 // a =  6 , b =  3 , sel =  0
00001100100 // a =  6 , b =  4 , sel =  0
00001100101 // a =  6 , b =  5 , sel =  0
00001100110 // a =  6 , b =  6 , sel =  0
00001100111 // a =  6 , b =  7 , sel =  0
00001101000 // a =  6 , b =  8 , sel =  0
00001101001 // a =  6 , b =  9 , sel =  0
00001101010 // a =  6 , b = 10 , sel =  0
00001101011 // a =  6 , b = 11 , sel =  0
00001101100 // a =  6 , b = 12 , sel =  0
00001101101 // a =  6 , b = 13 , sel =  0
00001101110 // a =  6 , b = 14 , sel =  0
00001101111 // a =  6 , b = 15 , sel =  0
00001110000 // a =  7 , b =  0 , sel =  0
00001110001 // a =  7 , b =  1 , sel =  0
00001110010 // a =  7 , b =  2 , sel =  0
00001110011 // a =  7 , b =  3 , sel =  0
00001110100 // a =  7 , b =  4 , sel =  0
00001110101 // a =  7 , b =  5 , sel =  0
00001110110 // a =  7 , b =  6 , sel =  0
00001110111 // a =  7 , b =  7 , sel =  0
00001111000 // a =  7 , b =  8 , sel =  0
00001111001 // a =  7 , b =  9 , sel =  0
00001111010 // a =  7 , b = 10 , sel =  0
00001111011 // a =  7 , b = 11 , sel =  0
00001111100 // a =  7 , b = 12 , sel =  0
