0000010010 // 18
0000100101 // 37
0001010010 // 82
0001000010 // 66
0110001100 // 396
0000010111 // 23
0101100110 // 358
0000011010 // 26
0011011110 // 222
0010101000 // 168
0011111100 // 252
0001001100 // 76
0000011011 // 27
0000011101 // 29
0010011011 // 155
0000110110 // 54
0000011001 // 25
0000010101 // 21
0000011001 // 25
0011011100 // 220
0000011000 // 24
0010000011 // 131
0000010100 // 20
0000011001 // 25
0010110000 // 176
0000011111 // 31
0000101100 // 44
0000011000 // 24
0000010010 // 18
0001000000 // 64
0100010110 // 278
0001111010 // 122
1000010000 // 528
0000010110 // 22
0010100110 // 166
0000010110 // 22
0000011001 // 25
0000100001 // 33
0000001101 // 13
0000010111 // 23
0000111110 // 62
0000010010 // 18
0110000000 // 384
0000011011 // 27
0001100011 // 99
0000010111 // 23
0001000111 // 71
0000011111 // 31
0010011100 // 156
0010111010 // 186
0000010100 // 20
0011000011 // 195
0000010001 // 17
0000011000 // 24
0001110110 // 118
0011101000 // 232
0001010011 // 83
0000010011 // 19
0111010000 // 464
0011001010 // 202
0001001110 // 78
0011010110 // 214
0010000110 // 134
0010110100 // 180
0010111100 // 188
0010110100 // 180
0000001100 // 12
0000001011 // 11
0000010010 // 18
0111010010 // 466
0000010100 // 20
0000010100 // 20
0010011000 // 152
0010100010 // 162
0000100001 // 33
0000001100 // 12
0000101110 // 46
0000101010 // 42
0001011011 // 91
0010010110 // 150
0001011010 // 90
0011010100 // 212
0101101100 // 364
0010010010 // 146
0000100100 // 36
0100110010 // 306
0000011001 // 25
0001010010 // 82
0001111010 // 122
0010111100 // 188
0000011001 // 25
0000010100 // 20
0110000000 // 384
0000101001 // 41
0000011101 // 29
0000010110 // 22
0000100010 // 34
0100011001 // 281
0000100000 // 32
0000010000 // 16
0000011100 // 28
0000010101 // 21
0001101010 // 106
0010111000 // 184
0001100010 // 98
0010010001 // 145
0111001000 // 456
0101111100 // 380
0001111001 // 121
0000010100 // 20
0011110100 // 244
0001111011 // 123
0000010111 // 23
0010110110 // 182
0001100011 // 99
0000010010 // 18
0000101000 // 40
0000101010 // 42
0011000100 // 196
0010000000 // 128
0101110000 // 368
0010110001 // 177
0010010101 // 149
0001010010 // 82
0000111100 // 60
0010101010 // 170
0000001111 // 15
0001001010 // 74
0000011001 // 25
0100000010 // 258
0100101000 // 296
0110011000 // 408
0000100010 // 34
0000110110 // 54
0011011100 // 220
0011011001 // 217
0001100001 // 97
0000100010 // 34
0000010110 // 22
0000101110 // 46
1000011100 // 540
0000101000 // 40
0111010000 // 464
0101101000 // 360
0011010001 // 209
0001010111 // 87
0000100111 // 39
0101010010 // 338
0000100000 // 32
0001011000 // 88
0000001110 // 14
0011010100 // 212
0100011110 // 286
0001000010 // 66
0000011011 // 27
0100110000 // 304
0000111101 // 61
0001101100 // 108
0010100100 // 164
0000011010 // 26
0000100101 // 37
0010000110 // 134
0010111101 // 189
0000010111 // 23
0001100011 // 99
0000011000 // 24
0000100010 // 34
0000010101 // 21
0001011101 // 93
0000110110 // 54
0010011110 // 158
0000111100 // 60
0000010001 // 17
0011000010 // 194
0000101100 // 44
0000111100 // 60
0001101010 // 106
0111000000 // 448
0000110011 // 51
0000010011 // 19
0000010001 // 17
0010100010 // 162
0100110000 // 304
0000011110 // 30
0000010100 // 20
0000101110 // 46
0000010100 // 20
0010001000 // 136
0000010111 // 23
0000010001 // 17
0000010001 // 17
